playerID,name,hits,age,team_ID,lg_ID,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,batting_avg,onbase_perc,slugging_perc,onbase_plus_slugging,onbase_plus_slugging_plus,TB,GIDP,HBP,SH,SF,IBB,pos_season,award_summary
beckro01,Rod Beck,Right,29,CHC,NL,77,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-100,0,0,0,0,0,0,1,MVP-18
kileda01,Darryl Kile,Right,29,COL,NL,37,84,71,5,18,5,0,0,5,0,0,4,22,0.254,0.293,0.324,0.617,50,23,1,0,9,0,0,1/H,
darwida01,Danny Darwin,Right,42,SFG,NL,32,51,45,2,4,1,0,0,1,0,0,1,30,0.089,0.128,0.111,0.239,-35,5,0,1,4,0,0,1,
martipe02,Pedro Martinez,Right,26,BOS,AL,2,7,7,0,0,0,0,0,0,0,0,0,5,0,0,0,0,-100,0,0,0,0,0,0,1,"AS,CYA-2,MVP-21"
ashbyan01,Andy Ashby,Right,30,SDP,NL,32,83,72,1,8,2,0,0,2,0,0,2,35,0.111,0.135,0.139,0.274,-25,10,0,0,9,0,0,1,AS
seleaa01,Aaron Sele,Right,28,TEX,AL,2,4,4,0,1,1,0,0,0,0,0,0,0,0.25,0.25,0.5,0.75,86,2,0,0,0,0,0,1,AS
reynoar02,Armando Reynoso,Right,32,NYM,NL,11,31,30,2,5,2,0,0,0,0,0,0,15,0.167,0.167,0.233,0.4,5,7,0,0,1,0,0,1,
oroscje01,Jesse Orosco,Right,41,BAL,AL,5,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,0,0,0,0,0,0,1,
nenro01,Robb Nen,Right,28,SFG,NL,75,3,3,0,0,0,0,0,0,0,0,0,2,0,0,0,0,-100,0,0,0,0,0,0,1,AS
piscima01,Marc Pisciotta,Right,27,CHC,NL,40,3,3,0,1,0,0,0,0,0,0,0,1,0.333,0.333,0.333,0.667,75,1,0,0,0,0,0,1,
klinest02,Steve Kline,Both,25,MON,NL,73,5,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-100,0,0,0,1,0,0,1,
