playerID,name,hits,AVG,SLG,OBA,G,AB,R,H,RBI,2B,3B,HR,SAC,SB,CS,SO,BB,HBP,TB
nixonot01,Otis Nixon,Both,0.296875,0.34375,0.3623481781376518,110,448,71,133,20,6,6,1,6,37,7,56,44,2,154
nomohi01,Hideo Nomo,Right,0.18,0.24,0.19607843137254902,28,50,4,9,5,0,0,1,4,0,0,17,1,0,12
nunnajo01,Jon Nunnally,Left,0.20689655172413793,0.3793103448275862,0.3397129186602871,74,174,29,36,20,9,0,7,4,3,4,38,34,1,66
offerjo01,Jose Offerman,Both,0.31466227347611203,0.4382207578253707,0.4065620542082739,158,607,102,191,66,28,13,7,8,45,12,96,89,5,266
olsongr01,Gregg Olson,Right,0.5,2,0.5,62,2,1,1,2,0,0,1,0,0,0,1,0,0,4
oroscje01,Jesse Orosco,Right,NA,NA,NA,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
osunaan01,Antonio Osuna,Right,0,0,0,50,2,0,0,0,0,0,0,0,0,0,0,0,0,0
paintla01,Lance Painter,Left,1,1,1,62,1,0,1,0,0,0,0,1,0,0,0,0,0,1
palmera01,Rafael Palmeiro,Left,0.2956381260096931,0.5654281098546042,0.38156028368794326,162,619,98,183,121,36,1,43,4,11,7,91,79,7,350
parenma01,Mark Parent,Right,0.22123893805309736,0.2831858407079646,0.2845528455284553,34,113,7,25,13,4,0,1,3,1,1,30,10,0,32
parkch01,Chan Ho Park,Right,0.19444444444444445,0.25,0.21621621621621623,33,72,2,14,3,2,1,0,6,0,0,30,2,0,18
percitr01,Troy Percival,Right,NA,NA,NA,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
perezed01,Eduardo Perez,Right,0.23837209302325582,0.3313953488372093,0.3282051282051282,84,172,20,41,30,4,0,4,3,0,1,45,21,2,57
perezyo01,Yorkis Perez,Left,0,0,0,54,2,0,0,0,0,0,0,0,0,0,1,0,0,0
pettian01,Andy Pettitte,Left,0,0,0,2,4,0,0,0,0,0,0,2,0,0,3,0,0,0
piazzmi01,Mike Piazza,Right,0.32798573975044565,0.5704099821746881,0.392914653784219,151,561,88,184,111,38,1,32,5,1,0,80,58,2,320
piscima01,Marc Pisciotta,Right,0.3333333333333333,0.3333333333333333,0.3333333333333333,40,3,0,1,0,0,0,0,0,0,0,1,0,0,1
plunker01,Eric Plunk,Right,0,0,0.5,31,1,1,0,0,0,0,0,0,0,0,1,1,0,0
portuma01,Mark Portugal,Right,0.26,0.36,0.3148148148148148,24,50,6,13,4,5,0,0,4,0,0,10,4,0,18
posadjo01,Jorge Posada,Both,0.2681564245810056,0.4748603351955307,0.3530864197530864,111,358,56,96,63,23,0,17,4,0,1,92,47,0,170
prattto02,Todd Pratt,Right,0.2753623188405797,0.5217391304347826,0.29577464788732394,41,69,9,19,18,9,1,2,0,0,0,20,2,0,36
princto01,Tom Prince,Right,0.18518518518518517,0.2716049382716049,0.26666666666666666,37,81,7,15,5,5,1,0,2,0,0,24,7,2,22
ramirma02,Manny Ramirez,Right,0.29422066549912435,0.5989492119089317,0.38284839203675347,150,571,108,168,145,35,2,45,10,5,3,121,76,6,342
relafde01,Desi Relaford,Both,0.24493927125506074,0.33805668016194335,0.2962264150943396,142,494,45,121,41,25,3,5,16,9,5,87,33,3,167
renteed01,Edgar Renteria,Right,0.28239845261121854,0.34235976789168276,0.34797891036906853,133,517,79,146,31,18,2,3,11,41,22,78,48,4,177
reynoar02,Armando Reynoso,Right,0.16666666666666666,0.23333333333333334,0.16666666666666666,11,30,2,5,0,2,0,0,1,0,0,15,0,0,7
rhodear01,Arthur Rhodes,Left,0.5,0.5,0.5,2,2,0,1,0,0,0,0,0,0,0,1,0,0,1
ripkeca01,Cal Ripken Jr.,Right,0.27121464226289516,0.389351081530782,0.3323170731707317,161,601,65,163,61,27,1,14,3,0,2,68,51,4,234
riverma01,Mariano Rivera,Right,NA,NA,NA,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
roberbi01,Bip Roberts,Both,0.2677966101694915,0.33559322033898303,0.34545454545454546,95,295,45,79,24,17,0,1,3,16,4,38,31,4,99
rockejo01,John Rocker,Right,NA,NA,NA,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rodrial01,Alex Rodriguez,Right,0.3104956268221574,0.5597667638483965,0.3616734143049933,161,686,123,213,124,35,5,42,7,46,13,121,45,10,384
rodriiv01,Ivan Rodriguez,Right,0.32124352331606215,0.5129533678756477,0.35993485342019543,145,579,88,186,91,40,4,21,3,9,0,88,32,3,297
rogerke01,Kenny Rogers,Left,0,0,0,2,4,1,0,0,0,0,0,0,0,0,2,0,0,0
rolensc01,Scott Rolen,Right,0.2895174708818636,0.5324459234608985,0.3943262411347518,160,601,120,174,110,45,4,31,6,14,7,141,93,11,320
runyase01,Sean Runyan,Left,NA,NA,NA,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ryanke01,Ken Ryan,Right,0,0,0,17,1,0,0,0,0,0,0,0,0,0,0,0,0,0
sandere02,Reggie Sanders,Right,0.2681912681912682,0.4178794178794179,0.3469387755102041,135,481,83,129,59,18,6,14,6,20,9,137,51,7,201
saundto01,Tony Saunders,Left,1,1,1,1,2,0,2,0,0,0,0,0,0,0,0,0,0,2
scanlbo01,Bob Scanlan,Right,NA,NA,NA,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0
schilcu01,Curt Schilling,Right,0.13157894736842105,0.15789473684210525,0.16455696202531644,33,76,3,10,3,2,0,0,12,0,0,26,3,0,12
sefcike01,Kevin Sefcik,Right,0.3136094674556213,0.4319526627218935,0.4228855721393035,104,169,27,53,20,7,2,3,4,4,2,32,25,7,73
seleaa01,Aaron Sele,Right,0.25,0.5,0.25,2,4,0,1,0,1,0,0,0,0,0,0,0,0,2
servasc01,Scott Servais,Right,0.22153846153846155,0.3384615384615385,0.2893258426966292,113,325,35,72,36,15,1,7,4,1,0,51,26,5,110
sexsori01,Richie Sexson,Right,0.3103448275862069,0.5919540229885057,0.3442622950819672,49,174,28,54,35,14,1,11,0,1,1,42,6,3,103
shawje01,Jeff Shaw,Right,0,0,0,68,2,0,0,0,0,0,0,1,0,0,2,0,0,0
shueypa01,Paul Shuey,Right,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0
sierrru01,Ruben Sierra,Both,0.21621621621621623,0.4594594594594595,0.24675324675324675,27,74,7,16,11,4,1,4,0,2,0,11,3,0,34
simmsmi01,Mike Simms,Right,0.2956989247311828,0.6129032258064516,0.38497652582159625,86,186,36,55,46,11,0,16,2,0,1,47,24,3,114
