playerID,name,AVG,SLG,OBA,G,AB,R,H,RBI,2B,3B,HR,SAC,SB,CS,SO,BB,E,PH,HBP,PB,TB
sexsori01,Richie Sexson,0.111111111,0.333333333,0.272727273,5,18,2,2,3,1,,1,1,,,6,1,1,,3,,6
shawje01,Jeff Shaw,0,0,0,7,1,,,,,,,,,,1,,,,,,0
shueypa01,Paul Shuey,,,,5,,,,,,,,,,,,,,,,,0
sierrru01,Ruben Sierra,0.235294118,0.588235294,0.235294118,5,17,2,4,4,,,2,,,,3,,,,,,10
simmsmi01,Mike Simms,0.391304348,1,0.416666667,8,23,4,9,7,2,,4,,,,5,1,,1,,,23
sirotmi01,Mike Sirotka,0.111111111,0.111111111,0.2,3,9,,1,1,,,,,,,4,1,,,,,1
slocuhe01,Heathcliff Slocumb,,,,1,,,,,,,,,,,,,,,,,0
sosasa01,Sammy Sosa,0.384615385,0.784615385,0.402985075,15,65,17,25,17,2,,8,,,1,12,2,3,,,,51
spencsh01,Shane Spencer,0.529411765,1.352941176,0.555555556,4,17,6,9,5,2,,4,,,,1,1,1,,,,23
spiezsc01,Scott Spiezio,0.375,0.375,0.375,4,8,,3,1,,,,,,,,,,,,,3
spradje01,Jerry Spradlin,0.3,0.4,0.363636364,9,10,,3,,1,,,,,,3,1,,1,,,4
stairma01,Matt Stairs,0.272727273,0.318181818,0.304347826,13,44,6,12,6,2,,,,2,1,7,2,2,,,,14
steinte01,Terry Steinbach,0.272727273,0.5,0.304347826,9,22,3,6,3,2,,1,,,,11,1,5,,,,11
stockke01,Kevin Stocker,0.19047619,0.19047619,0.260869565,8,21,2,4,2,,,,1,,,6,2,2,1,,,4
stottto01,Todd Stottlemyre,0,0,0,4,10,,,,,,,,,,6,,,,,,0
swindgr01,Greg Swindell,0,0,0,7,2,,,,,,,,,,,,,,,,0
tabakje01,Jeff Tabaka,,,,4,,,,,,,,,,,,,,,,,0
tatisfe01,Fernando Tatis,0.173913043,0.304347826,0.173913043,6,23,3,4,3,1,1,,,1,,5,,2,,,,7
thomafr04,Frank Thomas,0.260869565,0.47826087,0.5,12,23,6,6,3,5,,,,3,1,3,11,,1,,,11
tuckemi01,Michael Tucker,0.125,0.375,0.222222222,7,8,2,1,,,1,,,,,1,1,,1,,,3
