playerID,name,throws,ERA,W,L,SV,AVG_against,G,GS,CG,IP,ER,H,SO,BB,HBP,WP,BK,GameG,GameIP,GameER,GameHits,GameSO,GameW,GameL,GameSV,GameBB,ER_should_have,Hits_should_have,SO_should_have,W_should_have,L_should_have,SV_should_have,BB_should_have,ER_deviation,Hits_deviation,SO_deviation,W_deviation,L_deviation,SV_deviation,BB_deviation
daalom01,Omar Daal,Left,2.88,8,12,0,0.23079355042681002,33,23,3,162.2,52,146,132,51,3,0,1,5,20.67,18,29,22,1,0,0,5,6.6144,18.6055487053021,16.821454993834774,1.2121212121212122,1.8181818181818183,0,6.499198520345254,11.3856,10.394451294697902,5.178545006165226,-0.21212121212121215,-1.8181818181818183,0,-1.4991985203452538
darwida01,Danny Darwin,Right,5.51,8,10,0,0.2835965194972608,33,25,0,148.2,91,176,81,49,3,4,0,1,2.33,1,3,0,0,0,0,0,1.4264777777777777,2.767071524966262,1.2734817813765185,0.24242424242424243,0.30303030303030304,0,0.7703778677462888,-0.42647777777777773,0.23292847503373793,-1.2734817813765185,-0.24242424242424243,-0.30303030303030304,0,-0.7703778677462888
ericksc01,Scott Erickson,Right,4.01,16,13,0,0.27378771811433533,36,36,11,251.1,112,284,186,69,13,4,0,4,35.67,10,29,34,3,1,0,10,15.892966666666666,40.34360812425329,26.422222222222224,1.7777777777777777,1.4444444444444444,0,9.801792114695342,-5.892966666666666,-11.343608124253286,7.577777777777776,1.2222222222222223,-0.4444444444444444,0,0.19820788530465805
francjo01,John Franco,Left,3.62,0,8,38,0.25522041763341063,61,0,0,64.2,26,66,59,29,4,2,0,7,7.33,4,6,9,1,0,0,2,2.948288888888889,7.535514018691588,6.736292834890966,0,0.9180327868852459,4.360655737704918,3.311059190031153,1.051711111111111,-1.5355140186915879,2.263707165109034,1,-0.9180327868852459,-4.360655737704918,-1.3110591900311528
glavito02,Tom Glavine,Left,2.47,20,6,0,0.2271449454627235,33,33,4,229.1,63,202,157,74,2,3,0,3,26,7,16,18,2,1,0,6,7.135555555555555,22.924487123526845,17.817546922741162,1.8181818181818183,0.5454545454545454,0,8.398079441292012,-0.13555555555555543,-6.924487123526845,0.1824530772588382,0.18181818181818166,0.4545454545454546,0,-2.398079441292012
gomeswa01,Wayne Gomes,Right,4.24,9,6,1,0.25180819716046077,71,0,0,93.1,44,94,86,35,3,6,0,6,9,8,14,5,0,0,0,4,4.24,9.087003222341568,8.313641245972073,0.7605633802816901,0.5070422535211268,0.08450704225352113,3.3834586466165417,3.76,4.912996777658432,-3.3136412459720734,-0.7605633802816901,-0.5070422535211268,-0.08450704225352113,0.6165413533834583
gracemi02,Mike Grace,Right,5.48,4,7,0,0.3002847527828113,21,15,0,90.1,55,116,46,30,8,1,1,1,5.67,3,7,6,0,0,0,1,3.4524000000000004,7.299889012208657,2.8947835738068814,0.19047619047619047,0.3333333333333333,0,1.8879023307436182,-0.45240000000000036,-0.2998890122086566,3.1052164261931186,-0.19047619047619047,-0.3333333333333333,0,-0.8879023307436182
greenty01,Tyler Green,Right,5.03,6,12,0,0.22929113515259164,27,27,0,159.1,89,142,113,85,9,8,0,3,8,12,13,1,0,3,0,11,4.471111111111111,7.140163419233187,5.681961030798241,0.6666666666666666,1.3333333333333333,0,4.274041483343809,7.528888888888889,5.859836580766813,-4.681961030798241,-0.6666666666666666,1.6666666666666667,0,6.725958516656191
groombu01,Buddy Groom,Left,4.24,3,1,0,0.2657522503214745,75,0,0,57.1,27,62,36,20,1,1,0,2,2,2,5,1,0,0,0,3,0.9422222222222223,2.171628721541156,1.2609457092819614,0.08,0.02666666666666667,0,0.7005253940455342,1.0577777777777777,2.828371278458844,-0.26094570928196137,-0.08,-0.02666666666666667,0,2.2994746059544657
guthrma01,Mark Guthrie,Left,3.5,2,1,0,0.25688073394495414,53,0,0,54,21,56,45,24,2,2,0,6,6.67,3,7,4,0,1,0,2,2.593888888888889,6.917037037037036,5.558333333333334,0.22641509433962265,0.11320754716981132,0,2.964444444444444,0.4061111111111111,0.0829629629629638,-1.5583333333333336,-0.22641509433962265,0.8867924528301887,0,-0.9644444444444442
